symbol,fundingTime,fundingRate,markPrice
BTCUSDT,2026-01-18 00:00:00.001,0.00003503,95108.62485833
BTCUSDT,2026-01-18 08:00:00.000,0.00009616,94989.90000000
BTCUSDT,2026-01-18 16:00:00.000,0.00006571,95072.97801667
BTCUSDT,2026-01-19 00:00:00.007,0.00003473,93614.00000000
BTCUSDT,2026-01-19 08:00:00.007,0.00001943,92788.73004348
BTCUSDT,2026-01-19 16:00:00.007,0.00002494,93017.11165217
BTCUSDT,2026-01-20 00:00:00.005,0.00009819,92590.59439855
BTCUSDT,2026-01-20 08:00:00.001,0.00006626,91136.10000000
BTCUSDT,2026-01-20 16:00:00.009,0.00005652,90652.79605072
BTCUSDT,2026-01-21 00:00:00.001,0.00010000,88390.60000000
BTCUSDT,2026-01-21 08:00:00.011,0.00006055,89180.30531159
BTCUSDT,2026-01-21 16:00:00.011,0.00002410,90237.20000000
BTCUSDT,2026-01-22 00:00:00.010,0.00006355,89419.48837681
BTCUSDT,2026-01-22 08:00:00.003,0.00005110,89772.50000000
BTCUSDT,2026-01-22 16:00:00.005,0.00009419,88978.66202899
BTCUSDT,2026-01-23 00:00:00.005,0.00005090,89518.50000000
BTCUSDT,2026-01-23 08:00:00.000,0.00003390,89509.13183333
BTCUSDT,2026-01-23 16:00:00.011,0.00006968,89713.00000000
BTCUSDT,2026-01-24 00:00:00.011,0.00001531,89558.70000000
BTCUSDT,2026-01-24 08:00:00.002,0.00008909,89583.14050000
BTCUSDT,2026-01-24 16:00:00.001,0.00003901,89237.32462519
BTCUSDT,2026-01-25 00:00:00.002,0.00001336,89181.09492029
BTCUSDT,2026-01-25 08:00:00.011,0.00008051,88630.90404348
BTCUSDT,2026-01-25 16:00:00.005,0.00004917,88406.00000000
BTCUSDT,2026-01-26 00:00:00.000,0.00004067,86629.00000000
BTCUSDT,2026-01-26 08:00:00.003,0.00002847,87969.00000000
BTCUSDT,2026-01-26 16:00:00.000,0.00005606,87609.50000000
BTCUSDT,2026-01-27 00:00:00.002,0.00004267,88301.36701449
BTCUSDT,2026-01-27 08:00:00.000,0.00006028,88290.49133841
BTCUSDT,2026-01-27 16:00:00.000,0.00007503,88009.15772864
BTCUSDT,2026-01-28 00:00:00.000,0.00006237,89203.89821739
BTCUSDT,2026-01-28 08:00:00.000,0.00006174,89106.90000000
BTCUSDT,2026-01-28 16:00:00.000,0.00003830,89446.72848576
BTCUSDT,2026-01-29 00:00:00.000,0.00007210,89262.92891304
BTCUSDT,2026-01-29 08:00:00.009,0.00005856,88310.90000000
BTCUSDT,2026-01-29 16:00:00.000,0.00004023,84898.27826087
BTCUSDT,2026-01-30 00:00:00.008,0.00004478,84617.11086232
BTCUSDT,2026-01-30 08:00:00.000,0.00001714,82778.82526087
BTCUSDT,2026-01-30 16:00:00.001,0.00000310,82853.51839855
BTCUSDT,2026-01-31 00:00:00.000,0.00009693,84213.96525362
BTCUSDT,2026-01-31 08:00:00.001,0.00003548,83514.40000000
BTCUSDT,2026-01-31 16:00:00.009,0.00006585,81275.68205797
BTCUSDT,2026-02-01 00:00:00.001,-0.00003267,78701.59597101
BTCUSDT,2026-02-01 08:00:00.004,0.00003421,78320.90000000
BTCUSDT,2026-02-01 16:00:00.000,0.00001722,77563.80000000
BTCUSDT,2026-02-02 00:00:00.000,0.00000068,76931.60000000
BTCUSDT,2026-02-02 08:00:00.014,-0.00003043,76609.90000000
BTCUSDT,2026-02-02 16:00:00.000,-0.00005713,78800.60000000
