symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,99076.79000000,8859633939.70212400,19978556.00000000,2026-01-22
BTCUSDT,99638.45800000,8919604868.62260000,19978984.00000000,2026-01-23
BTCUSDT,98288.62100000,8802610950.41480000,19979481.00000000,2026-01-24
BTCUSDT,99585.46100000,8881140017.14118400,19979915.00000000,2026-01-25
BTCUSDT,102177.97800000,8852035857.06300000,19980246.00000000,2026-01-26
BTCUSDT,100909.72900000,8910467454.50007200,19980568.00000000,2026-01-27
BTCUSDT,101896.12700000,9089531741.65424500,19980959.00000000,2026-01-28
BTCUSDT,101533.93000000,9063507488.59400000,19981340.00000000,2026-01-29
BTCUSDT,106511.18700000,9013074911.31556700,19981662.00000000,2026-01-30
BTCUSDT,102164.48700000,8603676558.37191200,19982090.00000000,2026-01-31
BTCUSDT,93551.29800000,7362636457.75955600,19982475.00000000,2026-02-01
BTCUSDT,89521.21600000,6887010380.82560000,19982656.00000000,2026-02-02
BTCUSDT,88898.29300000,6996173691.84124200,19982656.00000000,2026-02-03
BTCUSDT,88991.51900000,6739541313.51560000,19982656.00000000,2026-02-04
BTCUSDT,93814.80600000,6862449862.61340000,19982656.00000000,2026-02-05
BTCUSDT,92719.68700000,5831224563.14830000,19984531.00000000,2026-02-06
BTCUSDT,85124.10800000,6004867388.59000000,19984921.00000000,2026-02-07
BTCUSDT,81369.39500000,5636836736.90538900,19985371.00000000,2026-02-08
BTCUSDT,80494.10100000,5660635723.44403600,19985893.00000000,2026-02-09
BTCUSDT,78783.92400000,5523580303.60200000,19986400.00000000,2026-02-10
BTCUSDT,79253.89700000,5453080233.86440000,19986931.00000000,2026-02-11
BTCUSDT,80997.51900000,5432681793.87180000,19987381.00000000,2026-02-12
BTCUSDT,79782.23100000,5285030284.57920000,19987853.00000000,2026-02-13
BTCUSDT,79203.46300000,5453426457.23444200,19988415.00000000,2026-02-14
BTCUSDT,77778.23900000,5428547746.65280000,19988871.00000000,2026-02-15
BTCUSDT,77130.01800000,5305413472.75768400,19989409.00000000,2026-02-16
BTCUSDT,75734.73100000,5215287408.17944050,19990034.00000000,2026-02-17
BTCUSDT,79067.56100000,5335154839.27990000,19990578.00000000,2026-02-18
BTCUSDT,80180.36000000,5327423387.56434500,19991081.00000000,2026-02-19
BTCUSDT,80783.17500000,5410372362.45000000,19991562.00000000,2026-02-20
