Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,SMA20,Upper Band,Lower Band
2024-10-09,62160.50000000,62543.75000000,60301.00000000,60636.02000000,20011.15684000,2024-10-09 23:59:59.999,1234778807.59324170,3668363,9454.70171000,583725546.03098850,,,
2024-10-10,60636.01000000,61321.68000000,58946.00000000,60326.39000000,23967.92481000,2024-10-10 23:59:59.999,1445604381.93637920,3872577,10827.77272000,653182369.94276710,,,
2024-10-11,60326.40000000,63417.56000000,60087.64000000,62540.00000000,23641.35209000,2024-10-11 23:59:59.999,1462219576.84986490,3222180,12099.56755000,748431117.91657060,,,
2024-10-12,62539.99000000,63480.00000000,62487.23000000,63206.22000000,10911.30116000,2024-10-12 23:59:59.999,686978508.98875430,1770837,5196.91695000,327263147.47604010,,,
2024-10-13,63206.23000000,63285.72000000,62050.00000000,62870.02000000,11909.21995000,2024-10-13 23:59:59.999,746564374.20823870,2242529,5855.04617000,367046338.91942090,,,
2024-10-14,62870.02000000,66500.00000000,62457.81000000,66083.99000000,37669.95222000,2024-10-14 23:59:59.999,2450094472.81354500,4977577,19941.11906000,1297062359.24748640,,,
2024-10-15,66084.00000000,67950.00000000,64800.01000000,67074.14000000,43683.95423000,2024-10-15 23:59:59.999,2894021862.31951800,6245619,21820.68200000,1446378130.56598510,,,
2024-10-16,67074.14000000,68424.00000000,66750.49000000,67620.01000000,29938.25544000,2024-10-16 23:59:59.999,2024560410.10626740,5109685,15212.87402000,1029210667.47582840,,,
2024-10-17,67620.00000000,67939.40000000,66666.00000000,67421.78000000,25328.22861000,2024-10-17 23:59:59.999,1702164439.56545950,3981960,12153.94712000,816887407.40423790,,,
2024-10-18,67421.78000000,69000.00000000,67192.36000000,68428.00000000,28725.63500000,2024-10-18 23:59:59.999,1959735899.87696440,4010969,14218.17850000,970440964.26681170,,,
2024-10-19,68427.99000000,68693.26000000,68010.00000000,68378.00000000,8193.66737000,2024-10-19 23:59:59.999,559628628.96131050,1152428,4071.19627000,278085065.51769250,,,
2024-10-20,68377.99000000,69400.00000000,68100.00000000,69031.99000000,12442.47378000,2024-10-20 23:59:59.999,854082429.81058610,1563795,6772.92574000,465001555.93098300,,,
2024-10-21,69032.00000000,69519.52000000,66840.67000000,67377.50000000,31374.42184000,2024-10-21 23:59:59.999,2130833593.54669770,3686777,13593.60828000,923860758.42088440,,,
2024-10-22,67377.50000000,67836.01000000,66571.42000000,67426.00000000,24598.96268000,2024-10-22 23:59:59.999,1654285791.66055570,3669291,12400.51857000,834160889.23987370,,,
2024-10-23,67426.01000000,67472.83000000,65260.00000000,66668.65000000,25530.24070000,2024-10-23 23:59:59.999,1695101430.91874660,3807365,11888.33995000,789384635.11068600,,,
2024-10-24,66668.65000000,68850.00000000,66510.00000000,68198.28000000,22589.83877000,2024-10-24 23:59:59.999,1526736320.91293800,3797462,11502.58514000,777936396.52474600,,,
2024-10-25,68198.27000000,68771.49000000,65596.29000000,66698.33000000,34479.71125000,2024-10-25 23:59:59.999,2320667435.29325390,5332593,16031.03200000,1079347459.15496360,,,
2024-10-26,66698.32000000,67454.55000000,66439.90000000,67092.76000000,11842.90770000,2024-10-26 23:59:59.999,792887047.14789200,2373501,6069.18986000,406369780.15329440,,,
2024-10-27,67092.76000000,68332.05000000,66913.73000000,68021.70000000,8653.19592000,2024-10-27 23:59:59.999,585006148.47048090,1771989,4417.73620000,298699666.99843930,,,
2024-10-28,68021.69000000,70270.00000000,67618.00000000,69962.21000000,29046.75459000,2024-10-28 23:59:59.999,2005105729.81744490,4432446,15218.34976000,1051606096.42982590,66253.0995,71806.34336231468,60699.8556376853
2024-10-29,69962.21000000,73620.12000000,69760.00000000,72736.42000000,50128.60594000,2024-10-29 23:59:59.999,3602465986.89175740,5645430,26898.46516000,1932608784.16303730,66858.1195,72470.95884548366,61245.28015451634
2024-10-30,72736.41000000,72961.00000000,71436.00000000,72344.74000000,26885.99056000,2024-10-30 23:59:59.999,1941210537.28828680,4040734,13487.21433000,973898183.74672780,67459.037,72687.72937200841,62230.34462799158
2024-10-31,72344.75000000,72700.00000000,69685.76000000,70292.01000000,29352.10297000,2024-10-31 23:59:59.999,2091144977.49468470,4525542,14205.13879000,1012048241.84989380,67846.6375,72673.87255222029,63019.40244777971
2024-11-01,70292.01000000,71632.95000000,68820.14000000,69496.01000000,38301.86755000,2024-11-01 23:59:59.999,2677358022.00497000,4569271,18044.16220000,1261663986.75969040,68161.12700000001,72511.42823196134,63810.825768038674
2024-11-02,69496.00000000,69914.37000000,69000.14000000,69374.74000000,10521.67243000,2024-11-02 23:59:59.999,731232427.63115480,1603561,5227.50713000,363370734.81580110,68486.363,72077.45718763521,64895.26881236478
2024-11-03,69374.74000000,69391.00000000,67478.73000000,68775.99000000,24995.70243000,2024-11-03 23:59:59.999,1709666206.40620230,3668029,12277.58177000,839939073.13895770,68620.963,72030.11299513215,65211.81300486785
2024-11-04,68775.99000000,69500.00000000,66835.00000000,67850.01000000,29800.39187000,2024-11-04 23:59:59.999,2033902307.00277610,5377048,14927.24077000,1019257547.52468490,68659.75649999999,72011.97653254261,65307.536467457365
2024-11-05,67850.01000000,70577.91000000,67476.63000000,69372.01000000,33355.06888000,2024-11-05 23:59:59.999,2310418908.06992200,4955644,17059.88663000,1181816730.92378330,68747.3565,72076.66203878433,65418.05096121565
2024-11-06,69372.01000000,76400.00000000,69298.00000000,75571.99000000,104126.99478700,2024-11-06 23:59:59.999,7702283270.25800886,8434184,53243.88442700,3938516657.23273316,69154.867,73606.89152374247,64702.84247625752
2024-11-07,75571.99000000,76849.99000000,74416.00000000,75857.89000000,44869.42234500,2024-11-07 23:59:59.999,3391796661.97195520,5207722,21805.46029500,1648278335.30073320,69526.3615,74873.06731597494,64179.655684025056
2024-11-08,75857.89000000,77199.99000000,75555.00000000,76509.78000000,36521.09958300,2024-11-08 23:59:59.999,2784449097.53151828,4877489,17555.39363300,1339019332.19671258,69932.9505,76087.66811129618,63778.23288870383
2024-11-09,76509.78000000,76900.00000000,75714.66000000,76677.46000000,16942.07915000,2024-11-09 23:59:59.999,1294709001.60288990,2585264,8032.79327000,614028515.30017060,70315.224,77146.83204299487,63483.61595700514
2024-11-10,76677.46000000,81500.00000000,76492.00000000,80370.01000000,61830.10043500,2024-11-10 23:59:59.999,4905441473.90073684,7128598,32751.01217700,2597409399.23496312,70964.8495,78987.3816970835,62942.31730291648
